,0
0,10.0
1,0.0
2,0.0
3,17.5
4,26.0
5,0.0
6,10.599999999999994
7,2.0
8,15.599999999999994
9,19.5
10,8.0
11,0.0
12,26.5
13,0.0
14,8.400000000000006
15,0.0
16,14.0
17,0.0
18,10.600000000000009
19,0.0
20,0.0
21,7.0
22,2.5999999999999943
23,4.099999999999994
24,0.0
25,11.0
26,0.0
27,0.0
28,0.0
29,0.0
30,28.599999999999994
31,4.099999999999994
32,0.0
33,0.0
34,23.0
35,0.0
36,2.0
37,0.0
38,15.0
39,0.0
40,0.20000000000000284
41,18.0
42,0.0
43,0.0
44,15.0
45,8.5
46,0.0
47,0.0
48,17.0
49,11.599999999999994
50,1.7999999999999972
51,10.099999999999994
52,2.5
53,0.0
54,0.0
55,23.5
56,19.0
57,0.0
58,2.9000000000000057
59,0.0
60,0.0
61,12.0
62,2.0
63,0.0
64,0.0
65,0.0
66,15.900000000000006
67,3.0
68,0.0
69,0.0
70,2.0
71,0.0
72,0.0
73,5.0
74,0.0
75,3.0
76,19.0
77,18.799999999999997
78,2.0999999999999943
79,3.0
80,16.200000000000003
81,11.5
82,7.0
83,17.5
84,32.5
85,0.0
86,0.0
87,12.099999999999994
88,0.0
89,3.5
90,2.9000000000000057
91,11.5
92,0.0
93,0.0
94,11.0
95,13.5
96,18.5
97,17.0
98,28.0
99,0.0
100,2.799999999999997
101,0.0
102,21.900000000000006
103,14.5
104,0.0
105,0.0
106,0.0
107,0.0
108,32.5
109,12.800000000000011
110,1.0
111,1.0
112,8.099999999999994
113,10.099999999999994
114,0.47999999999998977
115,0.0
116,0.0
117,0.0
118,0.0
119,4.599999999999994
120,0.0
121,0.0
122,3.4000000000000057
123,1.5
124,0.0
125,0.0
126,0.0
127,9.5
128,1.0
129,22.5
130,0.0
131,2.0
132,13.0
133,0.0
134,3.0
135,4.0
136,0.0
137,6.5
138,2.0800000000000125
139,10.0
140,15.0
141,0.0
142,2.0
143,13.5
144,2.0
145,0.0
146,0.0
147,3.5
148,14.900000000000006
149,0.0
150,33.0
151,0.0
152,0.0
153,0.0
154,0.0
155,9.599999999999994
156,0.0
157,19.0
158,0.0
159,0.0
160,0.0
161,0.0
162,1.6999999999999886
163,0.0
164,0.0
